Flange,D,D1,D2,d_b,b,h,d,n,Bolt_Size
DN350 PN6,485,445,410,377,22,4,22,12,M20
DN350 PN10,505,460,430,377,24,4,22,16,M20
DN350 PN16,520,470,430,377,30,4,26,16,M24
DN350 PN25,555,490,430,377,38,4,33,16,M30
DN400 PN6,535,495,465,426,24,4,22,16,M20
DN400 PN10,565,515,482,426,26,4,26,16,M24
DN400 PN16,580,525,482,426,32,4,30,16,M27
DN400 PN25,620,550,482,426,42,4,39,16,M36
DN450 PN6,590,550,520,477,24,4,22,16,M20
DN450 PN10,615,565,532,477,26,4,26,20,M24
DN450 PN16,640,585,532,477,34,4,30,20,M27
DN450 PN25,670,600,532,477,46,4,39,20,M36
DN500 PN6,640,600,565,530,25,4,22,16,M20
DN500 PN10,670,620,585,530,28,4,26,20,M24
DN500 PN16,715,650,585,530,36,4,33,20,M30
DN500 PN25,730,660,585,530,48,4,39,20,M36
DN600 PN6,755,705,670,630,25,5,26,20,M24
DN600 PN10,780,725,685,630,31,5,30,20,M27
DN600 PN16,840,770,685,630,41,5,39,20,M36
DN600 PN25,845,770,685,630,58,5,39,20,M36
DN700 PN6,860,810,775,720,27,5,26,24,M24
DN700 PN10,895,840,800,720,34,5,30,24,M27
DN700 PN16,910,840,800,720,47,5,39,24,M36
DN700 PN25,960,875,800,720,65,5,45,24,M42
DN800 PN6,975,920,880,820,27,5,30,24,M27
DN800 PN10,1015,950,905,820,37,5,33,24,M30
DN800 PN16,1025,950,905,820,51,5,39,24,M36
DN800 PN25,1085,990,905,820,73,5,52,24,M48
