Flange,Dm,Dn,d1(db),b,H,H1(H_0),OD,D1,d,n,Bolt_Size,D2,h
DN10 PN6,22,15,8,12,29,6,75,50,11,4,M10,35,2
DN10 PN10,25,15,8,12,35,6,90,60,14,4,M12,42,2
DN10 PN16,26,15,8,14,35,6,90,60,14,4,M12,42,2
DN10 PN25,26,15,8,16,35,6,90,60,14,4,M12,42,2
DN15 PN6,28,19,12,12,30,6,80,55,11,4,M10,40,2
DN15 PN10,30,19,12,12,35,6,95,65,14,4,M12,47,2
DN15 PN16,30,19,12,14,35,6,95,65,14,4,M12,47,2
DN15 PN25,30,19,12,16,35,6,95,65,14,4,M12,47,2
DN20 PN6,36,26,18,12,32,6,90,65,11,4,M10,50,2
DN20 PN10,38,26,18,14,38,6,105,75,14,4,M12,58,2
DN20 PN16,38,26,18,14,38,6,105,75,14,4,M12,58,2
DN20 PN25,38,26,18,16,36,6,105,75,14,4,M12,58,2
DN25 PN6,42,33,25,14,32,6,100,75,11,4,M10,60,2
DN25 PN10,45,33,25,14,40,6,115,85,14,4,M12,68,2
DN25 PN16,45,33,25,14,40,6,115,85,14,4,M12,68,2
DN25 PN25,45,33,25,16,38,6,115,85,14,4,M12,68,2
DN32 PN6,50,39,31,14,35,6,120,90,14,4,M12,70,2
DN32 PN10,55,39,31,15,42,6,135,100,18,4,M16,78,2
DN32 PN16,55,39,31,15,42,6,135,100,18,4,M16,78,2
DN32 PN25,56,39,31,18,45,6,135,100,18,4,M16,78,2
DN40 PN6,60,46,38,15,38,7,130,100,14,4,M12,80,3
DN40 PN10,62,46,38,16,45,7,145,110,18,4,M16,88,3
DN40 PN16,64,46,38,16,45,7,145,110,18,4,M16,88,3
DN40 PN25,64,46,38,19,48,7,145,110,18,4,M16,88,3
DN50 PN6,70,58,49,15,38,8,140,110,14,4,M12,90,3
DN50 PN10,76,58,49,16,45,8,160,125,18,4,M16,102,3
DN50 PN16,76,58,49,16,48,8,160,125,18,4,M16,102,3
DN50 PN25,76,58,49,20,48,8,160,125,18,4,M16,102,3
DN65 PN6,88,77,66,15,38,9,160,130,14,4,M12,110,3
DN65 PN10,94,77,66,18,48,10,180,145,18,4,M16,122,3
DN65 PN16,94,77,66,18,50,10,180,145,18,4,M16,122,3
DN65 PN25,96,77,66,22,53,10,180,145,18,8,M16,122,3
DN80 PN6,102,90,78,16,40,10,185,150,18,4,M16,128,3
DN80 PN10,105,90,78,18,50,10,195,160,18,4,M16,133,3
DN80 PN16,110,90,78,20,53,10,195,160,18,4,M16,133,3
DN80 PN25,110,90,78,22,55,12,195,160,18,8,M16,133,3
DN100 PN6,122,110,96,16,41,10,205,170,18,4,M16,148,3
DN100 PN10,128,110,96,20,51,12,215,180,18,8,M16,158,3
DN100 PN16,130,110,96,20,53,12,215,180,18,8,M16,158,3
DN100 PN25,132,110,96,24,61,12,230,190,22,8,M20,158,3
DN125 PN6,148,135,121,18,43,10,235,200,18,8,M16,178,3
DN125 PN10,156,135,121,22,60,12,245,210,18,8,M16,184,3
DN125 PN16,156,135,121,22,60,12,245,210,18,8,M16,184,3
DN125 PN25,160,135,121,26,68,12,270,220,26,8,M24,184,3
